firstName,lastName,addressLine,postalCode,city,country,email,phone
harry,Potter,4 privet drive,44300,londres,Angleterre,harry@poudlard.com,202020202
Ron,Weasley,Le terrier,12000,londres,Ecosse,row@poudlard.com,200231487
Ginny,Weasley,Le terrier,12000,londres,Ecosse,ginny@poudlard.com,321458745
Fred,Weasley,Le terrier,12000,londres,Ecosse,fred@poudlard.com,212364789
George,Weasley,Le terrier,12000,londres,Ecosse,george@poudlard.com,252335652
Hermione,Granger,2 avenue de France,44300,Nantes,France,hermione@poudlard.com,214587459
Neville,Londubat,133 rue D’allonville,44000,Nantes,France,neville@poudlard.com,245697859
Luna,Lovegood,2 ter quai François Miterrand,44200,Nantes,France,luna@poudlard.com,240254875
Padma,Patil,11 rue bertrand geslin,44000,Nantes,France,padma@poudlard.com,145236589
Parvati,Patil,11 rue bertrand geslin,44000,Nantes,France,parvati@poudlard.com,145789632
